X,Y,Z,constraint_1,constraint_2
2.5,1.4,625.3166,8,0.4
2.5,1.4,628.8796,10,0.4
2.5,1.4,632.3724,12,0.4
2.5,1.4,635.9426,14,0.4
2.5,1.4,618.8871,2,0.5
2.5,1.4,621.9676,4,0.5
2.5,1.4,625.1947,6,0.5
2.5,1.4,628.4336,8,0.5
2.5,1.4,631.6838,10,0.5
2.5,1.4,634.875,12,0.5
2.5,1.4,637.9882,14,0.5
2.5,1.4,621.3684,2,0.6
2.5,1.4,624.4348,4,0.6
2.5,1.4,627.498,6,0.6
2.5,1.4,630.5515,8,0.6
2.5,1.4,633.4573,10,0.6
2.5,1.4,636.5163,12,0.6
2.5,1.4,639.0881,14,0.6
2.5,1.4,623.1994,2,0.7
2.5,1.4,626.1642,4,0.7
2.5,1.4,629.021,6,0.7
2.5,1.4,631.8417,8,0.7
2.5,1.4,634.875,10,0.7
2.5,1.4,637.2603,12,0.7
2.5,1.4,639.5054,14,0.7
2.5,1.4,624.0347,2,0.8
2.5,1.4,627.0877,4,0.8
2.5,1.4,629.8063,6,0.8
2.5,1.4,632.4628,8,0.8
2.5,1.4,637.4209,12,0.8
2.5,1.4,639.461,14,0.8
2.5,1.4,624.2446,2,0.9
2.5,1.4,627.0063,4,0.9
2.5,1.4,629.723,6,0.9
2.5,1.4,632.3257,8,0.9
2.5,1.4,634.875,10,0.9
2.5,1.4,637.3235,12,0.9
2.5,1.4,639.3426,14,0.9
2.5,1.5,604.6463,2,0.2
2.5,1.5,608.6263,4,0.2
2.5,1.5,613.4979,6,0.2
2.5,1.5,617.5893,8,0.2
2.5,1.5,621.8892,10,0.2
2.5,1.5,625.7804,12,0.2
2.5,1.5,630.568,14,0.2
2.5,1.5,612.1222,2,0.3
2.5,1.5,616.101,4,0.3
2.5,1.5,619.9229,6,0.3
2.5,1.5,623.6789,8,0.3
2.5,1.5,627.5638,10,0.3
2.5,1.5,631.3866,12,0.3
2.5,1.5,635.684,14,0.3
2.5,1.5,617.9058,2,0.4
2.5,1.5,621.4438,4,0.4
2.5,1.5,624.7928,6,0.4
2.5,1.5,628.4173,8,0.4
2.5,1.5,631.9393,10,0.4
2.5,1.5,635.6407,12,0.4
2.5,1.5,639.3167,14,0.4
2.5,1.5,621.9344,2,0.5
2.5,1.5,625.249,4,0.5
2.5,1.5,628.383,6,0.5
2.5,1.5,631.7381,8,0.5
2.5,1.5,635.1174,10,0.5
2.5,1.5,638.4419,12,0.5
2.5,1.5,641.7011,14,0.5
2.5,1.5,624.8139,2,0.6
2.5,1.5,627.942,4,0.6
2.5,1.5,631.0727,6,0.6
2.5,1.5,634.178,8,0.6
2.5,1.5,637.2167,10,0.6
2.5,1.5,640.2121,12,0.6
2.5,1.5,643.0257,14,0.6
2.5,1.5,626.7193,2,0.7
2.5,1.5,629.6934,4,0.7
2.5,1.5,632.6199,6,0.7
2.5,1.5,635.5298,8,0.7
2.5,1.5,638.3545,10,0.7
2.5,1.5,641.1124,12,0.7
2.5,1.5,643.7706,14,0.7
2.5,1.5,627.5425,2,0.8
2.5,1.5,630.6748,4,0.8
2.5,1.5,633.4452,6,0.8
2.5,1.5,636.1757,8,0.8
2.5,1.5,638.8167,10,0.8
2.5,1.5,641.2828,12,0.8
2.5,1.5,643.7097,14,0.8
2.5,1.5,627.7534,2,0.9
2.5,1.5,630.5799,4,0.9
2.5,1.5,633.3555,6,0.9
2.5,1.5,636.0695,8,0.9
2.5,1.5,638.6956,10,0.9
2.5,1.5,641.1414,12,0.9
2.5,1.5,643.578,14,0.9
2.5,1.65,605.7631,2,0.2
2.5,1.65,609.7788,4,0.2
2.5,1.65,614.6398,6,0.2
2.5,1.65,618.7739,8,0.2
2.5,1.65,622.1853,10,0.2
2.5,1.65,626.9115,12,0.2
2.5,1.65,631.5741,14,0.2
2.5,1.65,613.9725,2,0.3
2.5,1.65,618.0971,4,0.3
2.5,1.65,621.9753,6,0.3
2.5,1.65,625.6684,8,0.3
2.5,1.65,629.6304,10,0.3
2.5,1.65,633.4704,12,0.3
2.5,1.65,637.8111,14,0.3
2.5,1.65,620.3367,2,0.4
2.5,1.65,623.9102,4,0.4
2.5,1.65,627.3737,6,0.4
2.5,1.65,630.933,8,0.4
2.5,1.65,634.875,10,0.4
2.5,1.65,638.504,12,0.4
2.5,1.65,642.6013,14,0.4
2.5,1.65,624.9005,2,0.5
2.5,1.65,628.0533,4,0.5
2.5,1.65,631.4793,6,0.5
2.5,1.65,634.875,8,0.5
2.5,1.65,638.298,10,0.5
2.5,1.65,641.8347,12,0.5
2.5,1.65,645.5399,14,0.5
2.5,1.65,627.985,2,0.6
2.5,1.65,631.1808,4,0.6
2.5,1.65,634.3784,6,0.6
2.5,1.65,637.6207,8,0.6
2.5,1.65,640.7006,10,0.6
2.5,1.65,643.8828,12,0.6
2.5,1.65,647.0788,14,0.6
2.5,1.65,630.013,2,0.7
2.5,1.65,633.0345,4,0.7
2.5,1.65,636.0847,6,0.7
2.5,1.65,639.1082,8,0.7
2.5,1.65,642.1916,10,0.7
2.5,1.65,644.9801,12,0.7
2.5,1.65,647.7612,14,0.7
2.5,1.65,631.1161,2,0.8
2.5,1.65,634.272,4,0.8
2.5,1.65,637.1239,6,0.8
